name,genre
True Beauty,"Highschool,Love Drama,Korean"
Never Have I Ever,"Highschool,Drama,Teen"
The Adam Project,"Futuristic,Sci-fi"
Friends,Sitcom
Lucifer,"Action,Comedy,Fantasy,Drama"
Fate: The Winx Saga,"Drama,Fantasy,Teen"
The Umbrella Academy,"Sci-fi,Action,Drama"
One of Us Is Lying,"Mystery,Suspense,Drama,Highschool"
The Flash,"Sci-fi,Superhero,Action,Adventure"
